INFO:root:M, Material_2 instance N.136, P3
INFO:root:M, Material_3 instance N.140, P3
INFO:root:M, Material_3 instance N.145, P3
INFO:root:M, Material_2 instance N.137, P1
INFO:root:M, Material_3 instance N.146, P1
INFO:root:M, Material_1 instance N.138, P3
INFO:root:M, Material_3 instance N.140, skip
INFO:root:M, Material_3 instance N.140, P1
INFO:root:M, Material_3 instance N.144, skip
INFO:root:M, Material_3 instance N.144, P1
INFO:root:M, Material_3 instance N.145, skip
INFO:root:M, Material_3 instance N.145, P1
INFO:root:M, Material_2 instance N.136, P1
INFO:root:M, Material_1 instance N.147, P1
INFO:root:M, Material_3 instance N.142, P2
INFO:root:M, Material_3 instance N.146, P1
INFO:root:M, Material_2 instance N.148, P1
INFO:root:M, Material_1 instance N.143, P3
INFO:root:M, Material_3 instance N.142, skip
INFO:root:M, Material_3 instance N.142, P1
INFO:root:M, Material_1 instance N.147, P2
INFO:root:M, Material_2 instance N.141, P3
INFO:root:M, Material_2 instance N.148, P2
INFO:root:M, Material_1 instance N.147, P3
INFO:root:M, Material_2 instance N.141, P1
INFO:root:M, Material_2 instance N.149, P1
INFO:root:M, Material_2 instance N.148, P3
INFO:root:M, Material_2 instance N.149, P2
INFO:root:M, Material_3 instance N.150, skip
INFO:root:M, Material_3 instance N.150, P3
INFO:root:M, Material_3 instance N.150, P2
INFO:root:M, Material_3 instance N.151, P1
INFO:root:M, Material_1 instance N.152, P1
INFO:root:M, Material_3 instance N.151, P1
INFO:root:M, Material_2 instance N.148, P1
INFO:root:M, Material_2 instance N.153, P1
INFO:root:M, Material_1 instance N.154, P1
INFO:root:M, Material_2 instance N.155, P1
INFO:root:M, Material_2 instance N.149, P3
INFO:root:M, Material_1 instance N.154, P2
INFO:root:M, Material_3 instance N.150, skip
INFO:root:M, Material_3 instance N.150, P1
INFO:root:M, Material_1 instance N.152, P2
INFO:root:M, Material_1 instance N.156, P1
INFO:root:M, Material_2 instance N.153, P2
INFO:root:M, Material_2 instance N.149, P1
INFO:root:M, Material_1 instance N.157, P1
INFO:root:M, Material_3 instance N.158, P1
INFO:root:M, Material_1 instance N.154, P3
INFO:root:M, Material_2 instance N.159, P1
INFO:root:M, Material_1 instance N.156, P2
INFO:root:M, Material_1 instance N.152, P3
INFO:root:M, Material_2 instance N.153, P3
